apps/frappe/frappe/public/js/frappe/form/workflow.js +32, by Role ,
apps/frappe/frappe/model/naming.py +90, for {0},
DocType: About Us Settings,"""Company History""",
apps/frappe/frappe/core/page/data_import_tool/exporter.py +69,"""Parent"" signifies the parent table in which this row must be added",
DocType: About Us Settings,"""Team Members"" or ""Management""",
DocType: Website Settings,&lt;head&gt; HTML,
apps/frappe/frappe/custom/doctype/customize_form/customize_form.py +137,'In List View' not allowed for type {0} in row {1},
apps/frappe/frappe/public/js/frappe/ui/toolbar/navbar.html +58,(Ctrl + G),
apps/frappe/frappe/model/rename_doc.py +352,** Failed: {0} to {1}: {2},
DocType: Currency,**Currency** Master,
DocType: Workflow Document State,0 - Draft; 1 - Submitted; 2 - Cancelled,
DocType: Web Page,0 is highest,
DocType: Currency,"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent",
apps/frappe/frappe/website/doctype/blog_post/blog_post.py +170,1 comment,
apps/frappe/frappe/public/js/frappe/misc/pretty_date.js +43,1 hour ago,
apps/frappe/frappe/public/js/frappe/misc/pretty_date.js +41,1 minute ago,
apps/frappe/frappe/public/js/frappe/list/listview.js +342,2 days ago,
DocType: DocType,"<a onclick=""msgprint('<ol>\
<li><b>field:[fieldname]</b> - By Field\
<li><b>naming_series:</b> - By Naming Series (field called naming_series must be present\
<li><b>Prompt</b> - Prompt user for a name\
<li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####\
</ol>')"">Naming Options</a>",
apps/frappe/frappe/print/page/print_format_builder/print_format_builder_layout.html +11,<span class=text-muted data-no-content=1>,
apps/frappe/frappe/public/js/frappe/misc/pretty_date.js +49,> {0} year(s) ago,
apps/frappe/frappe/config/core.py +57,A log of request errors,
apps/frappe/frappe/templates/emails/new_user.html +3,A new account has been created for you at {0},
apps/frappe/frappe/desk/form/assign_to.py +153,"A new task, {0}, has been assigned to you by {1}. {2}",
DocType: Currency,A symbol for this currency. For e.g. $,
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +31,A user can be permitted to multiple records of the same DocType.,
apps/frappe/frappe/public/js/frappe/ui/toolbar/navbar.html +35,About,
DocType: About Us Settings,About Us Settings,
DocType: About Us Team Member,About Us Team Member,
DocType: Currency,Accounts User,
DocType: Workflow Transition,Action,
DocType: Web Form,Actions,
apps/frappe/frappe/config/setup.py +181,"Actions for workflow (e.g. Approve, Cancel).",
apps/frappe/frappe/core/doctype/user/user_list.js +12,Active,
,Activity,
apps/frappe/frappe/config/desk.py +39,Activity log of all users.,
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +379,Add,
apps/frappe/frappe/config/setup.py +128,Add / Manage Email Accounts.,
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +306,Add A New Restriction,
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +366,Add A New Rule,
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +302,Add A User Restriction,
apps/frappe/frappe/public/js/frappe/views/communication.js +249,Add Attachments,
apps/frappe/frappe/public/js/frappe/views/reports/reportview.js +625,Add Column,
apps/frappe/frappe/public/js/frappe/ui/listing.html +6,Add Filter,
DocType: Website Settings,Add Google Analytics ID: eg. UA-89XXX57-1. Please search help on Google Analytics for more information.,
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +370,Add New Permission Rule,
apps/frappe/frappe/public/js/frappe/views/communication.js +15,Add Reply,
DocType: Email Account,Add Signature,
DocType: Report,Add Total Row,
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +9,Add a New Role,
DocType: Website Settings,Add a banner to the site. (small banners are usually good),
apps/frappe/frappe/public/js/frappe/form/footer/timeline.html +4,Add a comment,
apps/frappe/frappe/public/js/frappe/ui/tags.js +21,Add a tag,
apps/frappe/frappe/core/doctype/user/user.js +152,Add all roles,
DocType: Web Page,Add code as &lt;script&gt;,
apps/frappe/frappe/config/setup.py +232,Add custom forms.,
apps/frappe/frappe/config/setup.py +227,Add custom javascript to forms.,
apps/frappe/frappe/config/setup.py +222,Add fields to forms.,
apps/frappe/frappe/public/js/frappe/form/grid_body.html +14,Add multiple rows,
apps/frappe/frappe/public/js/frappe/form/grid_body.html +11,Add new row,
DocType: Website Theme,"Add the name of a ""Google Web Font"" e.g. ""Open Sans""",
apps/frappe/frappe/public/js/frappe/form/footer/assign_to.js +167,Add to To Do,
apps/frappe/frappe/templates/base.html +134,Added,
DocType: Website Settings,"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO",
apps/frappe/frappe/utils/file_manager.py +43,Added {0},
apps/frappe/frappe/public/js/frappe/form/link_selector.js +121,Added {0} ({1}),
